,Question,Answer,Label,predicted_label
6238,"What does the term ""Digital Divide"" encompass?","The term ""Digital Divide"" encompasses not only access to the internet services but also the unequal access to new communication technologies, quality of connection, processing ability of computers, and difficulty in obtaining technical assistance.",taxonomy,taxonomy
6246,How does crowdsourcing open the gates for transferring blame in case of failure?,"Crowdsourcing allows the blame for failure to be shifted to the crowd, which may justify hiring professionals instead of involving the crowd.",ethics_and_regulation,strategy
6247,How important is it to address the nuances of crowdsourcing for striking a balance?,It is imperative to address the nuances of crowdsourcing in order to strike a proper balance between what people want and what government agencies or private parties are trying to achieve through people's involvement.,strategy,strategy
6264,What are some challenges of employing people's involvement for scanning of information in images and videos?,Employing people for scanning information in images and videos can be time-consuming and costly.,strategy,strategy
6267,"What is clickstream data, and why is it considered worthless for producing patterns or conclusions on human interactions with the web?","Clickstream data is the data generated when one surfs through websites, tracking every cursor movement and page opening. However, a large portion of this data is considered worthless because it does not lead to any patterns or conclusions on human interactions with the web.",science_and_tech,science_and_tech
6274,What are some potential issues that may arise from the opportunistic behaviour of participants in a citizen-help service?,"Potential issues include participants cheating for their own benefit, stealing and selling innovative ideas, denial of service by participants, delay in solutions for selfish reasons, and uncertainty about the long-term sustainability of the system.",ethics_and_regulation,ethics_and_regulation
6278,How can the problem of confusion among citizens regarding their work be addressed?,"A clear demarcation must exist between citizen responsibilities and when officials should be involved. - Matters relating to federal laws, abuse reports, and security concerns should be reported directly to the authority. - Sensitive issues should be released to both the public and authorities for transparency.",ethics_and_regulation,ethics_and_regulation
6281,How can giving out certificates of participation or progress help one advance their career?,Giving out certificates of participation or progress can help one advance their career by showcasing their exceptional contributions and skills to potential employers.,strategy,strategy
6283,What is the potential drawback of using a two-way rating scale?,The potential drawback of using a two-way rating scale is that it can produce biased results as it forces individuals to take a side and eliminates more neutral opinions.,ethics_and_regulation,analysis
6300,How can sustainability concepts drive innovation and transformation in society?,"Sustainability concepts can drive innovation and transformation in society by addressing challenges such as urban development, energy management, information systems, waste management, and people's health and safety. These concepts encourage the development of sustainable solutions and practices that promote long-term environmental, social, and economic well-being.",strategy,strategy
6311,What is the impact of a lack of smart city awareness amongst residents?,The impact of a lack of smart city awareness amongst residents is that the majority of the residents are unaware of the services and features of the smart city.,strategy,analysis
6316,What is one of the challenges in transforming cities into smart cities?,One of the challenges is the lack of a strategic approach for smart city transformation.,strategy,strategy
6318,What is one challenge reported by respondents regarding the development of smart cities?,Lack of a comprehensive governance structure.,strategy,analysis
6327,What is identified as a challenge for the success of developing smart cities?,The lack of complete and efficient digital content.,strategy,strategy
6338,"What suggestions did respondents R5, R6, and R17 make to address the need for smart city professional skills and recent technologies?",They suggested conducting training for smart city professional skills and acquiring recent technologies through hands-on practices for smart city development.,science_and_tech,strategy
6342,"What percentage of respondents identified ""Lack of sustainable focused strategies"" as a challenge in smart city development?","Approximately 88% of the respondents identified ""Lack of sustainable focused strategies"" as a challenge in smart city development.",science_and_tech,analysis
6349,What is the purpose of collecting demographic data of the respondents?,"The purpose of collecting demographic data of the respondents is to provide information about the characteristics and backgrounds of the individuals involved in the development of smart cities in Pakistan. This information can help in understanding the perspectives, experiences, and expertise of the respondents, and how they may impact the development process.",strategy,strategy
6352,Why is a strong network security infrastructure needed for communication among sensors in IoT-based healthcare systems?,"A strong network security infrastructure is needed for communication among sensors in IoT-based healthcare systems to alleviate issues such as minimal human interaction and key modification for encryption. This infrastructure ensures that data communication between patients and caregivers is secure, preventing security breaches and the exposure of sensitive patient data.",ethics_and_regulation,strategy
6354,What are some tools that can be used to achieve security in IoT devices?,"Cryptography, tamper detection, and hardware random number generators are some tools that can be used to achieve security in IoT devices.",science_and_tech,science_and_tech
6379,What are some potential security challenges that IoT devices in healthcare applications face?,"An attacker might falsify data, modify data, or create a DoS attack.",ethics_and_regulation,ethics_and_regulation
6385,Why is public key cryptography considered expensive in regard to system overhead?,Public key cryptography is considered expensive in regard to system overhead because sensor nodes have limited computational capabilities.,science_and_tech,science_and_tech
6391,What are some possible attacks in IoT-based healthcare applications?,"Some possible attacks in IoT-based healthcare applications include data tampering, eavesdropping, and replay attacks.",ethics_and_regulation,ethics_and_regulation
6400,How do cities contribute to these challenges?,"Cities contribute to these challenges through the process of urbanization, which leads to increased demand for resources, higher energy consumption, and negative impacts on the environment.",science_and_tech,analysis
6408,What are some important solutions for energy trading in distributed energy systems?,"Some important solutions for energy trading in distributed energy systems include adopting a new strategy for energy trading, implementing integrated energy network technologies at the city level, constructing infrastructure for advanced energy conservation systems, developing real-time energy monitoring, diagnostics, and controlling technologies, and applying intelligent energy management technologies.",strategy,strategy
6415,What are the leading Australian smart cities?,"The leading Australian smart cities are Brisbane, Melbourne, and Sydney.",science_and_tech,science_and_tech
6419,What are the conclusions regarding smart city scores?,Cities governed by women and those located in the western region have better smart city scores. Stimulating investment by government administrations and implementing proper policies will lead to sustainable development.,analysis,analysis
6424,What are some problems that can be alleviated through smart transportation in smart cities?,"Major problems such as accident detection, automatic fare collection, lack of road safety, and traffic congestion can be alleviated through smart transportation.",analysis,analysis
6426,Why is the exploitation of renewable energy sources important in smart city development?,The exploitation of renewable energy sources is important in smart city development because it ensures the availability and affordability of energy while also promoting sustainability.,analysis,strategy
6441,What are the solutions for achieving smart governance in a smart city?,"Appropriate policy and strategy, new technology, correct legislation, public participation, and establishing equality and justice.",analysis,strategy
6444,How can local leaders engage with citizens in the selection of technologies?,"Local leaders can engage with citizens by having open and frank dialogue, seeking their input and feedback on technology choices.",strategy,strategy
6451,How does the optimal pricing strategy of electric vehicle charging stations promote green behaviour based on time and space dimensions?,"The optimal pricing strategy of electric vehicle charging stations promotes green behaviour by considering both the time and space dimensions. This means that the pricing strategy takes into account the time of day and the location of the charging station, encouraging users to charge their vehicles during off-peak hours and in areas where renewable energy sources are more readily available. This helps to reduce the overall carbon footprint of electric vehicles and promotes a more sustainable transportation system.",strategy,strategy
6462,What are some reasons why face recognition is favoured for recognizing people in smart cities and smart environments?,"Some reasons why face recognition is favoured for recognizing people in smart cities and smart environments are that it is the natural way of recognizing people, it is non-invasive, and it is low cost.",science_and_tech,analysis
6466,How can face recognition be used in emergency situations?,"In emergency situations, face recognition can help public, or ambulance drivers identify the blood group and personal details of victims, allowing for faster and more effective medical treatment.",strategy,science_and_tech
6475,What are some common types of spoof attacks used to degrade facial recognition performance?,"Some common types of spoof attacks used to degrade facial recognition performance include print attacks, eye-cut photo attacks, warped photo attacks, replay attacks, and 3D mask attacks.",analysis,science_and_tech
6499,What were the three barrier groups to e-government adoption found in the meta-analysis by Savoldelli et al. (2014)?,"The three barrier groups found were technological and economical, managerial and organizational, and institutional and political.",analysis,analysis
6501,How do smart technologies challenge the fundamental principles of the Rechtsstaat?,"Smart technologies, particularly pre-emptive computing systems, undermine every citizen's autonomy and therefore challenge the fundamental principles of the Rechtsstaat (constitutionality) according to Hoffmann-Tinel (2017).",ethics_and_regulation,ethics_and_regulation
6520,What were the six different barrier groups found in the cluster analysis of the smart government projects?,"The six different barrier groups found in the cluster analysis were legal foundations, technical infrastructure, cost-benefit relationships, innovativeness, legitimacy, and policy coherence.",analysis,analysis
6534,What does the presence of 17 perceived barriers in smart government initiatives indicate?,The presence of 17 perceived barriers in smart government initiatives indicates that these projects are complex and carry a risk of failure.,analysis,analysis
6535,What is the focus of the International Journal of Electronic Governance?,The focus of the International Journal of Electronic Governance is on e-government projects and their success or failure.,science_and_tech,science_and_tech
6547,How do environmental sensor networks behave in smart environments?,"Environmental sensor networks in smart environments are designed to have smart behaviour, enabling them to adapt to environmental conditions and power availability. They use non-standard radio networking for communications, and wireless gateways route sensor data to the Internet for easy and reliable interaction with servers and users.",science_and_tech,science_and_tech
6553,Why is IoT technology used in the environment?,"IoT technology is used in the environment because it allows for better communication systems and networks, facilitating the development and safety of the environment.",science_and_tech,science_and_tech
6556,How can the Internet of Things (IoT) be used in environmental monitoring and waste management?,"The IoT can be used to collect and share data from monitoring devices, process the data, and make the right decisions to prevent environmental problems such as water and air pollution, radiation, and natural disasters.",science_and_tech,strategy
6558,How can IoT technology help monitor water quality?,IoT technology can monitor water quality by measuring the degree of pH in the water. This helps determine the health of aquatic life and identify if the water is contaminated.,science_and_tech,science_and_tech
6575,What is the expected percentage of Bluetooth-enabled smartphones to be 'Smart Ready' by 2018?,"More than 90 percent of Bluetooth-enabled smartphones, including iOS, Android, and Windows based models, are expected to be 'Smart Ready' by 2018.",analysis,analysis
6576,What are the key features of Smart Bluetooth?,"Smart Bluetooth offers a communication range between 50 to 150Â m, a data rate of 1Mbps, and operates at a frequency of 2.4GHz.",analysis,science_and_tech
6577,Why is Smart Bluetooth considered the universal language of the Internet of Things?,Smart Bluetooth is considered the universal language of the Internet of Things because it consumes less energy than other solutions and is already included in devices that users already own.,analysis,science_and_tech
6580,Why is Wi-Fi connectivity often chosen by developers?,"Wi-Fi connectivity is often chosen by developers because it is pervasive within the home environment, offers fast data transfer, and can handle high quantities of data.",science_and_tech,science_and_tech
6581,What is the throughput range of Wi-Fi 802.11n standard?,The throughput range of Wi-Fi 802.11n standard is in the range of hundreds of megabits per second.,science_and_tech,science_and_tech
6585,What are the main features of NFC technology in relation to IoT?,"The main features of NFC technology in relation to IoT are connecting, commissioning, and controlling devices. NFC allows for pairing of devices that use different communication technologies, provides greater control over settings and access privileges, and offers flexibility and security in machine control.",strategy,science_and_tech
6590,What are the potential consequences of industrial waste on water pollution?,"Industrial waste can lead to water pollution and damage the marine environment, threatening the life of fish and other water organisms. It can also change the colour, temperature, and mineral content of water, posing a serious hazard to water organisms.",science_and_tech,science_and_tech
6594,What are the environmental hazards associated with nuclear waste?,"Nuclear waste is highly toxic and can have serious effects on the environment, particularly in water.",science_and_tech,science_and_tech
6599,What are the benefits of using sensor networks for water quality monitoring?,"Sensor networks allow for real-time monitoring and measurements of water quality parameters. They can be deployed in underwater environments to accurately collect data on temperature, chemical substances, and water density.",strategy,science_and_tech
6610,What is the purpose of the receiver part of the system in the water monitoring system?,"The receiver part of the system acts as a gateway, connecting the transmitter part of the WSN system running 6LoWPAN to the internet and water quality databases, client browsers, or handheld smartphones.",strategy,strategy
6615,What is the purpose of design substantiation and optimization in cloud computing environments for IoT sensor data analytics?,The purpose of design substantiation and optimization is to analyse the collected results and optimize the design based on that information.,analysis,strategy
6618,How does toxic pollutants in the air impact wildlife?,"Toxic pollutants in the air can have various impacts on wildlife. Just like humans, animals can experience health problems if they are exposed to high concentrations of air toxics over time. These pollutants can cause harm to the respiratory system, damage organs, and disrupt the reproductive and immune systems of animals. Therefore, it is important to minimize the exposure of animals to toxic pollutants in order to protect their health and well-being.",science_and_tech,science_and_tech
6620,What are some examples of fossil fuels that contribute to air pollution?,"Examples of fossil fuels that contribute to air pollution include oil, petrol, and coal.",science_and_tech,science_and_tech
6621,How does burning fossil fuels contribute to air pollution?,"Burning fossil fuels creates dangerous gases that trap heat from the sun, leading to a warmer planet. It also creates smog and various diseases if people breathe in the polluted air.",science_and_tech,science_and_tech
6625,What are some sources of indoor air pollution?,"Other sources of indoor air pollution include gases from cooking and heating, chemicals from candles and household cleansers, and toxins from building materials.",science_and_tech,science_and_tech
6630,What types of pollution aspects does Fairly technology measure?,"Fairly technology measures dust sensors, forest fires detectors, traffic management modules, and water quality monitoring.",science_and_tech,science_and_tech
6636,How can IoT technology benefit weather forecasting in agriculture and transport?,"IoT technology in weather forecasting can benefit agriculture by providing farmers with real-time information on weather conditions, allowing them to make informed decisions on soil preparation, sowing, irrigation, harvesting, and crop storage. In transport, IoT technology can provide important information on temperature, fog, road conditions, light, flood, heavy rain, and storms, ensuring the safety and security of drivers and reducing road accidents caused by weather hazards.",strategy,science_and_tech
6651,How do weather monitoring stations connect with the internet to share weather information?,"Weather monitoring stations can connect with the internet, enabling them to share weather information with other environment monitoring systems or monitoring centres.",strategy,strategy
6659,How can data on radiation levels be transferred over long distances with minimal power consumption?,Through the use of Low Power Wide Area Networks (PLAN) such as Flora and Sig fox.,science_and_tech,science_and_tech
6669,What is the purpose of deploying IoT technology for monitoring hazardous chemicals?,The purpose of deploying IoT technology is to decrease the degree of critical situations in human life and protect the environment by monitoring and tracking hazardous chemicals more effectively.,strategy,strategy
6681,How does the system overcome connectivity issues in remote areas?,Slave dustbins communicate their information with their corresponding master dustbins.,strategy,science_and_tech
6686,How does the Smart Rubbish System (SGS) reduce the amount of food waste?,"The SGS exchanges information wirelessly, collects and analyses data, and operates as a pilot project to reduce food waste.",strategy,strategy
6689,What is one of the main concerns with solid waste management?,It disturbs the balance of the environment and has adverse effects on the health of the society.,analysis,analysis
6691,What is a major difficulty in waste collection?,The checking process of waste bins for the collection of wastes.,strategy,strategy
6693,What are the sensors used in the Smart Rubbish Bin?,The Smart Rubbish Bin uses two types of sensors - a load sensor to sense the load of the waste and an IR proximity sensor to detect the level of the waste.,science_and_tech,science_and_tech
6711,How does the cloud server eliminate the need for constant manual monitoring in the greenhouse?,"The cloud server enables data processing and applies control actions, providing cost-effective and optimal solutions to farmers with minimal manual intervention.",science_and_tech,strategy
6713,What are some of the functions that IoT sensors in the greenhouse can control?,"IoT sensors in the greenhouse can control actuators to open windows, turn on lights, and control home machines through a Wi-Fi signal. These sensors can also provide information on light levels, pressure, humidity, and temperature.",science_and_tech,science_and_tech
6722,How can data exchange be organized and restricted among institutions and management centres in smart cities?,The challenge is to simplify the use of data related to various digital solutions and facilitate their analysis for effective decision-making. This requires streamlining data operations and creating multi-functional data platforms that can connect to IoT networks.,strategy,strategy
6729,Which continent had the highest number of IoT projects related to smart environment in 2018?,"The Americas had the highest number of IoT projects related to smart environment in 2,018 accounting for 45% of the total projects.",science_and_tech,science_and_tech
6731,What challenges may be faced in deploying IoT in smart environment applications?,"Some challenges that may be faced include identification of environmental systems, data management, security, and interoperability between different environmental systems.",strategy,strategy
6751,What is the goal of Smart Cities?,The goal of Smart Cities is to enhance the quality of life of urban citizens and improve operational efficacy of urban services.,taxonomy,strategy
6759,"What was the purpose of the SC Challenge, and what was the criteria for cities to participate?","The purpose of the SC Challenge was to develop Smart City models for technology-aided transportation systems that could be applicable to other U.S. cities. The criteria for cities to participate was that they had to be mid-size cities with a population between 200,000 and 850,000.",strategy,strategy
6760,How did the SC Challenge address inclusion issues in its funding opportunities?,"The Notice of Funding Opportunities (NOVO) for the SC Challenge explicitly addressed inclusion issues, such as the mobility of people with disabilities or seniors. This means that cities applying for the grant had to propose solutions that took into consideration the needs of these specific groups of people.",ethics_and_regulation,strategy
6775,What do the findings suggest about the level of concern for inclusiveness among applicants?,"The findings suggest that inclusiveness was not a significant area of concern for applicants, even though it was requested.",analysis,analysis
6781,What were some of the challenges identified by most applicant cities in the SC Challenge?,Most applicant cities identified 'limited mobility/accessibility' challenges in both rounds of the SC Challenge.,science_and_tech,analysis
6783,What are some challenges related to the 'digital exclusiveness and lack of information' category in smart city planning?,"The challenges include lacking access to technologies, specific devices, and digital skills, which limit the ability of socially and digitally excluded populations to benefit from real-time traffic information and information about their surroundings.",ethics_and_regulation,analysis
6798,What percentage of ISC strategies were proposed to benefit people with disabilities?,Over 70% of ISC strategies were proposed to benefit people with disabilities.,science_and_tech,analysis
6819,How does walkability impact public health?,"Walkability can have a positive impact on public health by promoting physical activity and reducing sedentary behaviour. It encourages people to walk instead of driving, leading to improved cardiovascular health and lower rates of obesity.",science_and_tech,strategy
6821,What is the main purpose of the Smart City Challenge?,"The main purpose of the Smart City Challenge is to encourage cities to use technology and innovation to improve transportation systems, increase safety, and enhance quality of life for residents.",strategy,strategy
6826,How can the incorporation of AI and strong edge computation address this challenge?,The incorporation of AI and strong edge computation can deliver acquisition of huge complex data and computation services intelligently at the edge network for intelligent decision-making.,science_and_tech,science_and_tech
6833,How can an instant touch button provide assistance to patients in case of emergencies?,"An instant touch button can be provided to the patient, which they can press to call or send a quick message to the hospital or a relative in case of an emergency. This can save the patient's life from potential risks.",strategy,strategy
6834,"What are the benefits of integrating IoT sensors, DL, 5G, and AI edge computing in healthcare systems?","The integration of IoT sensors, DL, 5G, and AI edge computing allows for better healthcare real-time solutions. It encourages privacy, satisfies latency criteria, reduces cost, and energy consumption. This integration also enables healthcare professionals to provide better diagnosis and treatment opportunities.",science_and_tech,science_and_tech
6844,"What does the term ""smart"" typically refer to in the context of our digital age?","The term ""smart"" typically refers to a rapidly expanding yet elusive and ambiguous constellation of meanings in our digital age.",taxonomy,taxonomy
6849,"Why does Google reject the term ""smart city""?","Google's head of its city unit explicitly stated that he rejects the term ""smart city"" because cities have always been smart.",ethics_and_regulation,ethics_and_regulation
6857,What are the gains that come from using intelligent devices in smart cities?,"The gains come from feedback loops inherent in the deployment and use of intelligent devices featuring connectivity, sensors, and/or screens.",analysis,analysis
6858,"What is the importance of defining the term ""smart city"" broadly?","Defining the term ""smart city"" broadly allows for consideration of services offered by various firms, such as Google and Uber, alongside products and solutions offered by companies like Cisco and IBM.",taxonomy,strategy
6861,How are smart cities typically portrayed in contemporary histories?,"Smart cities are typically portrayed as logical high-points in cities' technology and information-driven evolution, with their growth and ubiquity being determined by the rate of civilization's inventiveness rather than external political or economic factors.",analysis,analysis
6877,"How does the existence of privately built cities in India impact the impact of the ""smart cities"" program?","The presence of privately built cities, such as Lavas and Gurgaon, lessens the shock value of the rapid development of over 100 smart cities in just a few years. This suggests that the concept of privatized cities is not entirely new in India.",strategy,analysis
6902,How are many technology firms in Silicon Valley operating a privatized shadow welfare state?,"Many technology firms in Silicon Valley operate a privatized shadow welfare state by delegating core functions of the actual welfare state, such as healthcare, to private providers and having the government contribute to the cost.",strategy,strategy
6904,How does the push to drive up the value of assets relate to antitrust law?,"The push to drive up the value of assets, such as property, was accompanied by a particular attitude towards antitrust law. This attitude allowed more monopolies to form, which in turn allowed these companies to achieve economies of scale and tap into labour markets in the developing world. This helped to further increase their wealth and power.",ethics_and_regulation,ethics_and_regulation
6906,How has digital capitalism with Silicon Valley at the helm accelerated the process of the Walmart Effect?,"Digital capitalism has turbocharged the Walmart Effect through firms like Uber, which use advanced technology to offer extremely low rates. This is achieved through better capacity utilization due to sensors in smartphones.",science_and_tech,science_and_tech
6914,What is the model of firms like Google in terms of data extraction?,"Firms like Google specialize in data extractions, where they harvest as much data as they can by subsidizing the activities generating it or funding them through advertising.",taxonomy,strategy
6919,How many people's data has the UK National Health Service sent through algorithms?,The patient data of more than four million people has been sent through algorithms.,analysis,science_and_tech
6921,"Who is leading Sidewall Labs, and what is his background?","Sidewall Labs is led by Daniel Doctor?, a Wall Street veteran and former deputy mayor of New York responsible for economic development.",strategy,science_and_tech
6927,How did the austerity climate affect funding for local services?,The austerity climate greatly curtailed the levels of funding available for local services.,analysis,analysis
6942,How can cities and citizens exercise technological sovereignty in practical terms?,"Technological sovereignty means the ability to organize affairs according to principles beyond the dictatorship of no alternatives imposed by neoliberalism. This could involve differentiating urban spaces through the logic of absence, both in terms of physical amenities and the gathering and analysis of data.",ethics_and_regulation,strategy
6944,"What is the non-neoliberal response to the idea that ""what cannot be measured cannot be managed""?","The non-neoliberal response is that ""what cannot be managed cannot be privatized."" It suggests that there are many things our smart devices should not know, and their design should reflect this rather than relying on the goodwill of their operators.",strategy,ethics_and_regulation
6947,How can cities oppose the dominance of the neoliberal smart city paradigm?,"Cities can oppose the dominance of the neoliberal smart city paradigm by demonstrating that the economic models proposed by companies like Uber, Google, and Airbnb do not deliver the promised results. Additionally, they can prove that the ""smart"" resources and infrastructures can be deployed under a different legal and economic model to benefit local residents and industries rather than transnational corporations.",strategy,ethics_and_regulation
6975,What are some challenges faced by cities in regulating the on-demand economy?,"Cities are struggling to introduce fair regulations regarding the taxation of large digital platforms and tech companies, which creates competition issues for local players. - Governments and antitrust authorities are beginning to demand access to companies' data and metadata to ensure algorithmic transparency.",ethics_and_regulation,ethics_and_regulation
6977,How has the Standard been utilized so far?,The Standard has been tested by six countries and has facilitated the release of over two million government contracts.,analysis,analysis
6984,Why did the Moscow Transport Authority initially threaten to ban Uber?,The Moscow Transport Authority initially threatened to ban Uber because local players in the highly competitive taxi market pressured city authorities to find a solution to Uber's attempt to capture the market.,ethics_and_regulation,ethics_and_regulation
6986,Why are cities planning strong interventions to provide broadband connectivity for all citizens?,"Cities are planning strong interventions to provide broadband connectivity for all citizens due to recent attacks on Net Neutrality and regulatory proposals that favour large internet companies, broadband providers, and commercial content providers. This unequal playing field in terms of access to networks has pushed cities to become more proactive in ensuring equal access to broadband as a basic right.",ethics_and_regulation,ethics_and_regulation
6988,How is Barcelona cracking down on uncontrolled tourism and home rental websites?,The new government in Barcelona has frozen new licences for hotels and other tourist accommodation. They are also seeking to fine firms like Airbnb and Booking.com for marketing flats that are not registered with the local tourism board.,strategy,ethics_and_regulation
6989,How many accommodations does Airbnb offer in Barcelona?,"Airbnb offers 17,370 accommodations in the city, making Barcelona their fifth-largest market overall.",analysis,science_and_tech
6991,What is the European Commission's CAPS program and what does it aim to achieve?,"The European Commission's CAPS program is an initiative that has invested Â60 million into collaborative and open digital platforms. It aims to pilot bottom-up, citizen-led projects with high social impact.",ethics_and_regulation,strategy
7000,What is a significant innovation in the field of public utility ownership?,"A significant innovation is the growth of new forms of public utility ownership combined with more decentralized forms of collective ownership, such as cooperatives with shares held jointly by the local authority, trade unions, and citizens.",strategy,strategy
7001,What was the outcome of the 2013 referendum in Hamburg regarding the city's energy distribution grids?,The citizens of Hamburg voted for full municipalization of the city's energy distribution grids.,ethics_and_regulation,strategy
7014,What are some cities around the world implementing strategies for urban manufacturing and local sustainable production?,"Cities such as Barcelona, Milan, Berlin, Amsterdam, Detroit, New York City, and Shenzhen are taking advantage of digital transformation and the new industrial revolution to implement new strategies for urban manufacturing and local sustainable production.",strategy,strategy
7027,"What is the basic income experiment in Livorno, Italy?","The basic income experiment in Livorno, Italy consists of providing Â500 to 100 families threatened by poverty over a period of six months, in order to cover basic needs such as food and part of the rent.",strategy,strategy
7028,What was the purpose of the workshops conducted between June and September 2017?,The purpose of the workshops was to evaluate the feasibility of implementing pilots for a municipal basic income scheme with complementary municipal currencies.,strategy,strategy
7031,How can local currencies contribute to the diversification of a city's economy?,"Local currencies can contribute to the diversification of a city's economy by allowing it to pursue its needs with the objective of utilizing an ecosystem of local currencies designed for different needs, capacities, and interactions. This includes utilizing complementary currencies that stimulate local interaction, exchange, and production.",strategy,strategy
7032,Which cities are embracing blockchain-enabled digital currencies such as Bitcoin?,"Cities such as San Francisco, Amsterdam, Vancouver, New York, and London are embracing blockchain-enabled digital currencies such as Bitcoin.",strategy,science_and_tech
7037,How are cities addressing the need for new democratic institutions for the younger generation?,"Cities are coming together in gatherings such as ""Democratic Cities"" to discuss the design of new democratic institutions that are open, experimental, and able to tap into the collective intelligence of citizens.",strategy,strategy
7039,How much money has the city of Barcelona invested in citizens' proposals so far?,The city of Barcelona has invested Â10 million in citizens' proposals thus far.,science_and_tech,science_and_tech
7041,How did the city of Barcelona involve its citizens in the urban planning process?,The city involved neighbourhood groups and citizens through offline citizens' assemblies and the online platform decided.,strategy,strategy
7043,"What is participatory budgeting, and how does it work in Porto Alegre?","Participatory budgeting in Porto Alegre allows citizens to present their proposals and priorities to address social challenges and influence budgetary allocations. Through collective debates and voting, citizens are able to have a say in how public funds are allocated. This process has led to better and more effective decisions regarding welfare projects, such as improvements in sewer and water infrastructures. Approximately 40,000 citizens participate in the process each year, with active involvement from low-income groups.",strategy,strategy
7050,What is the current model of major corporations in Silicon Valley regarding data?,Major corporations in Silicon Valley turn data into a new asset class that can be sold and traded on financial markets.,strategy,strategy
7058,What are some challenges that arise from rapid urbanization?,"Some challenges that arise from rapid urbanization include the lack of development in infrastructure and policies that correspond to the growing demands of local residents. Additionally, rapid urban growth can also burden climate, energy, the environment, and living conditions.",strategy,analysis
7064,How do smart city applications benefit people and the city?,"Smart city applications provide benefits in areas such as energy efficiency, environmental sustainability, economic growth, quality of life improvement, and enhanced public services.",taxonomy,analysis
7066,How does smart industry contribute to industrial sustainable development in a smart city?,Smart industry helps optimize industrial production and manufacturing in a smart city. It reduces material and resource consumption during the industrial process and prevents excessive emission of industrial heat and gas waste.,strategy,science_and_tech
7069,How does intelligent transportation help manage road traffic congestion in a smart city?,"Intelligent transportation uses sensors, cameras, GPS, and smartphones to collect road traffic information. The control centre then adjusts travellers' road plans and provides feedback to their smartphones or GPS. Additionally, traffic light and public transportation tools can be managed to adjust road traffic.",strategy,science_and_tech
7073,How does the processing unit contribute to the functioning of a smart city?,"The processing unit in a smart city utilizes powerful cloud computing servers, databases, and control systems to analyse and process the collected sensing information from the physical world. It manages the information world in a smart city and is responsible for decision-making based on the processed data.",strategy,science_and_tech
7075,What are some security and privacy concerns associated with smart city applications?,Smart city applications raise concerns and challenges in terms of security and privacy.,ethics_and_regulation,ethics_and_regulation
7079,What are the potential risks posed by inside attackers in a smart city?,"Inside attackers, such as agents, employees, and security guards, may steal users' data or leave a gap for outside attackers.",ethics_and_regulation,ethics_and_regulation
7087,What challenges arise when collecting health and social network data?,"The collaboration of multiple independent service providers, such as hospitals and social network vendors, is a key challenge in enabling enhanced infection analysis. This collaboration also poses a series of security issues.",strategy,analysis
7093,How does the privacy-preserving navigation scheme ensure the sensitive information in the driving route is not disclosed?,"The driving route is encrypted by Elgamal and AES schemes associated with a zero-knowledge range proof, which proves that the time cost is less than the given threshold, without exposing the exact value.",ethics_and_regulation,ethics_and_regulation
7104,How can cities address the innovation challenges posed by smarter cities and the IoT?,M. Anaphase et al. discuss in IEEE Computer that smarter cities face innovation challenges when implementing IoT technologies.,strategy,analysis
7109,What degrees did Ju Ren receive and from which university?,"Ju Ren received his B.Sc., M.Sc., and Ph.D. degrees, all in computer science, from Central South University, China, in 2,009 2,012 and 2,016 respectively.",science_and_tech,science_and_tech
7112,What factors must be considered for a smart city application proposal to be optimally beneficial?,Both the technological and policy challenges must be considered for a smart city application proposal to be optimally beneficial.,analysis,strategy
7115,What are the current limitations of smart city deployments?,Smart city deployments are often siloed and poorly coordinated across agencies. They are typically not designed to offer additional functionality beyond their normal state of operations.,analysis,strategy
7123,How do smart boxes harvest their own energy?,"Smart boxes harvest their own energy from redundant power sources such as wind, solar, and bio.",science_and_tech,science_and_tech
7128,How have first responders and emergency managers been historically involved in smart city projects?,First responders and emergency managers have typically been overlooked in most smart city projects.,science_and_tech,strategy
7131,What are the limitations of ZigBee in coexistence with Wi-Fi?,ZigBee suffers from substantial performance reduction in coexistence with Wi-Fi.,science_and_tech,analysis
7132,How does the power consumption of Wi-Fi hinder its widespread application?,Wi-Fi has considerably higher power consumption compared to ZigBee.,science_and_tech,analysis
7135,How does the emergency network investigated in Ne moto and Yamaguchi (2014) overcome the lack of communication infrastructure in extensively-damaged areas?,The emergency network in Ne moto and Yamaguchi (2014) uses Wi-Fi and WiMAX-based mesh networks with satellite connectivity to provide communication in extensively-damaged areas.,science_and_tech,analysis
7152,What is the purpose of using auxiliary smartphones in the smart box network?,The purpose of using auxiliary smartphones is to extend the range of the Wi-Fi network.,strategy,science_and_tech
7153,"What is crowd-sensing, and how does it enhance the capabilities of smart boxes?","Crowd-sensing is the use of a sensing network of volunteering city residents or city employees' smartphones to perform environmental sensing. It augments the sensing capabilities of smart boxes by incorporating sensor data from participating smartphones. This data is continuously communicated and collected from nearby smartphones, merged with smart-box collected data, and sent to the city IT centre.",science_and_tech,science_and_tech
7155,How can the participation in the crowd-sensing network be made energy efficient?,"To avoid draining the battery of volunteers' smartphones, it is important to make the participation in the crowd-sensing network energy efficient.",strategy,strategy
7165,How long should a smart box be able to function without a power source?,A smart box should be able to function for approximately 8-12 hours without a power source.,strategy,strategy
7171,How long was the biofuel energy harvesting apparatus deployed in the Ithaca Wastewater treatment facility?,The biofuel energy harvesting apparatus was deployed in the Ithaca Wastewater treatment facility for approximately two and a half months.,strategy,science_and_tech
